epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.8559,1.94524,3.85029,1.85796,0.01012,0.31901,0.01544,0.00698,1.98007,4.02242,1.83417,0.00012221,0.00012221,0.00012221
2,21.5137,1.74069,3.73312,1.65828,0.00952,0.31813,0.02121,0.0086,2.00067,3.9755,1.85009,0.000253,0.000253,0.000253
3,26.2638,1.70332,3.40915,1.64375,0.0113,0.32263,0.02274,0.01071,1.84808,3.88229,1.67709,0.000381151,0.000381151,0.000381151
4,30.8797,1.74799,3.05414,1.68375,0.01334,0.37863,0.03375,0.0154,1.84881,3.72972,1.70833,0.000506662,0.000506662,0.000506662
